Vehicle Number,Vehicle Type,Weather,Traffic,Location,Parking Time
ABC5324,SUV,Foggy,Low,Office,9
ABC2099,Truck,Foggy,Low,Residential,11
ABC7085,Bike,Foggy,Low,Office,6
ABC7758,SUV,Rainy,Medium,Office,5
ABC5029,Truck,Foggy,Medium,Residential,8
ABC3060,Bike,Rainy,Medium,Shopping Mall,4
ABC6897,SUV,Sunny,Medium,Office,5
ABC6306,SUV,Rainy,High,Residential,9
ABC2760,Bike,Foggy,Medium,Shopping Mall,2
ABC6968,Bike,Sunny,Low,Office,8
ABC8265,Bike,Sunny,Low,Office,4
ABC5266,Bike,Foggy,Low,Residential,10
ABC2989,Car,Foggy,Low,Shopping Mall,3
ABC7108,SUV,Snowy,Medium,Shopping Mall,2
ABC2809,Bike,Foggy,Medium,Shopping Mall,4
ABC5869,SUV,Foggy,Medium,Office,5
ABC9140,Truck,Snowy,Low,Residential,12
ABC4570,Bike,Sunny,High,Office,8
ABC4530,SUV,Foggy,High,Residential,10
ABC8951,Car,Rainy,Low,Residential,8
ABC1613,Truck,Snowy,Low,Shopping Mall,2
ABC8342,Truck,Foggy,Medium,Residential,10
ABC1667,Bike,Rainy,Medium,Shopping Mall,4
ABC7927,Truck,Sunny,Medium,Office,7
ABC8798,Truck,Foggy,Medium,Office,7
ABC6355,Bike,Snowy,High,Office,9
ABC2935,SUV,Snowy,High,Office,5
ABC9601,Bike,Foggy,Medium,Office,5
ABC1195,SUV,Rainy,Low,Office,8
ABC1614,Car,Sunny,Low,Shopping Mall,1
ABC2056,SUV,Snowy,High,Shopping Mall,2
ABC4645,Car,Rainy,High,Residential,10
ABC2692,Car,Sunny,High,Shopping Mall,4
ABC8455,Bike,Snowy,Medium,Residential,6
ABC1906,Bike,Rainy,Medium,Office,9
ABC2565,Car,Snowy,High,Shopping Mall,4
ABC7225,Car,Snowy,Low,Residential,6
ABC9589,Bike,Snowy,Low,Shopping Mall,2
ABC8683,Truck,Foggy,Low,Office,6
ABC4289,Truck,Rainy,High,Shopping Mall,5
ABC3250,Car,Foggy,Medium,Residential,10
ABC1479,Truck,Sunny,High,Residential,12
ABC9324,Car,Rainy,Medium,Office,7
ABC7634,Car,Sunny,Medium,Residential,6
ABC6465,SUV,Rainy,Low,Office,6
ABC8738,SUV,Snowy,Low,Shopping Mall,3
ABC7966,SUV,Sunny,Medium,Shopping Mall,2
ABC1906,SUV,Sunny,Medium,Residential,12
ABC4298,SUV,Rainy,High,Shopping Mall,4
ABC6894,SUV,Snowy,High,Shopping Mall,4
ABC9256,Bike,Rainy,Medium,Office,8
ABC9705,Bike,Sunny,High,Shopping Mall,2
ABC6769,Truck,Sunny,High,Residential,11
ABC4110,SUV,Foggy,Medium,Office,9
ABC6250,Truck,Sunny,Medium,Office,5
ABC8514,Truck,Foggy,Medium,Shopping Mall,2
ABC9289,Car,Foggy,Low,Office,5
ABC7483,SUV,Foggy,Medium,Shopping Mall,3
ABC4975,Truck,Snowy,Low,Residential,10
ABC8473,Truck,Sunny,Low,Residential,7
ABC6854,Car,Foggy,Medium,Residential,11
ABC7267,Truck,Sunny,Medium,Residential,8
ABC9750,Bike,Rainy,Medium,Office,6
ABC1961,SUV,Rainy,Medium,Residential,7
ABC4514,Truck,Foggy,Medium,Shopping Mall,3
ABC6128,Bike,Foggy,Medium,Office,6
ABC3762,Car,Foggy,Medium,Shopping Mall,2
ABC9073,SUV,Sunny,High,Residential,11
ABC9924,SUV,Sunny,High,Shopping Mall,4
ABC1326,Car,Sunny,High,Residential,12
ABC1511,Truck,Sunny,High,Residential,11
ABC4863,Car,Sunny,Low,Shopping Mall,3
ABC7556,Car,Sunny,Low,Residential,9
ABC5927,Car,Rainy,Low,Residential,10
ABC6679,Car,Foggy,High,Shopping Mall,4
ABC5152,Truck,Snowy,Medium,Office,6
ABC3350,Bike,Sunny,High,Office,7
ABC3293,Truck,Rainy,Low,Residential,10
ABC5250,Bike,Snowy,High,Residential,9
ABC8736,SUV,Snowy,High,Residential,9
ABC7401,Truck,Snowy,Low,Office,6
ABC9554,Car,Snowy,High,Shopping Mall,4
ABC5483,SUV,Snowy,Low,Residential,9
ABC4435,Bike,Foggy,High,Office,9
ABC3034,SUV,Foggy,Medium,Office,7
ABC1149,Car,Snowy,High,Office,5
ABC6175,Bike,Foggy,Low,Office,8
ABC6212,Bike,Foggy,High,Residential,9
ABC4901,Car,Sunny,Low,Office,7
ABC5325,Bike,Foggy,Low,Office,7
ABC4802,Truck,Rainy,High,Office,8
ABC4787,Car,Snowy,Medium,Shopping Mall,2
ABC2029,Bike,Snowy,High,Office,8
ABC2735,Bike,Foggy,High,Shopping Mall,5
ABC7724,SUV,Rainy,Medium,Shopping Mall,4
ABC4606,Bike,Foggy,High,Residential,8
ABC2593,Truck,Snowy,Medium,Shopping Mall,2
ABC1569,Bike,Snowy,Low,Office,6
ABC2773,Bike,Sunny,High,Residential,7
ABC6810,Car,Sunny,High,Residential,12
ABC2307,Car,Foggy,High,Shopping Mall,4
ABC6884,SUV,Sunny,High,Shopping Mall,4
ABC9702,Truck,Foggy,Medium,Office,8
ABC7327,SUV,Sunny,High,Residential,13
ABC4078,Car,Snowy,High,Shopping Mall,4
ABC7608,SUV,Sunny,Low,Shopping Mall,3
ABC3317,SUV,Foggy,High,Residential,14
ABC6030,Car,Foggy,Medium,Shopping Mall,2
ABC6099,Bike,Sunny,Medium,Residential,12
ABC8650,Car,Foggy,Medium,Office,5
ABC1152,Car,Snowy,Medium,Office,5
ABC2716,Truck,Sunny,Low,Shopping Mall,1
ABC5556,Car,Snowy,High,Shopping Mall,4
ABC7175,SUV,Foggy,Low,Office,5
ABC2147,Car,Sunny,Low,Residential,7
ABC8558,Bike,Foggy,High,Residential,9
ABC6949,SUV,Snowy,High,Office,8
ABC8021,Truck,Rainy,High,Office,6
ABC8509,Bike,Snowy,Medium,Residential,9
ABC2227,Bike,Sunny,Low,Office,5
ABC6772,Truck,Rainy,Low,Office,9
ABC2070,Car,Snowy,Low,Shopping Mall,2
ABC1318,Truck,Foggy,High,Shopping Mall,5
ABC7128,Car,Rainy,Low,Shopping Mall,4
ABC5769,Bike,Snowy,Medium,Residential,7
ABC9585,SUV,Snowy,Medium,Residential,9
ABC9355,SUV,Rainy,Medium,Office,7
ABC8385,Truck,Rainy,Low,Shopping Mall,2
ABC4518,SUV,Foggy,Low,Residential,9
ABC3988,Car,Snowy,Low,Office,6
ABC5235,Truck,Foggy,Low,Shopping Mall,2
ABC7476,Bike,Snowy,Medium,Shopping Mall,2
ABC5995,Bike,Snowy,Low,Office,7
ABC5314,Truck,Sunny,Low,Residential,12
ABC5256,SUV,Snowy,Medium,Office,4
ABC4929,Car,Sunny,Medium,Shopping Mall,2
ABC4992,SUV,Foggy,Low,Office,7
ABC5484,Bike,Snowy,Low,Residential,7
ABC9673,Truck,Snowy,High,Office,6
ABC7668,SUV,Rainy,Low,Residential,9
ABC5958,Truck,Sunny,Medium,Shopping Mall,2
ABC1248,Bike,Foggy,High,Residential,14
ABC7966,Truck,Snowy,Low,Residential,12
ABC8366,Bike,Foggy,Medium,Office,5
ABC7055,Bike,Snowy,High,Residential,10
ABC8158,Car,Snowy,High,Office,8
ABC7891,Car,Foggy,Low,Shopping Mall,2
ABC2603,Car,Snowy,High,Shopping Mall,3
ABC7006,Bike,Sunny,Low,Shopping Mall,3
ABC5301,Bike,Foggy,Low,Residential,13
ABC7291,Truck,Sunny,High,Residential,9
ABC8226,SUV,Foggy,High,Shopping Mall,5
ABC3449,SUV,Rainy,High,Shopping Mall,4
ABC6777,Bike,Rainy,Medium,Office,8
ABC3538,Truck,Snowy,High,Residential,10
ABC4997,SUV,Foggy,Medium,Office,8
ABC7952,Truck,Rainy,Medium,Shopping Mall,4
ABC8240,Car,Sunny,Low,Office,4
ABC1382,Car,Sunny,Low,Residential,6
ABC2282,Truck,Foggy,High,Residential,8
ABC8660,Car,Foggy,High,Office,9
ABC3815,SUV,Rainy,Medium,Office,8
ABC4888,Bike,Snowy,Low,Office,6
ABC1112,Car,Foggy,Low,Shopping Mall,4
ABC7819,Car,Rainy,Medium,Office,9
ABC8409,SUV,Foggy,High,Shopping Mall,3
ABC4073,Car,Rainy,Low,Office,7
ABC4862,Truck,Snowy,Medium,Shopping Mall,2
ABC4299,Bike,Rainy,Low,Shopping Mall,3
ABC6401,Truck,Sunny,Medium,Office,8
ABC2573,Bike,Sunny,High,Shopping Mall,4
ABC1558,Bike,Sunny,Low,Residential,8
ABC8967,Car,Snowy,Low,Office,6
ABC7041,Truck,Snowy,Medium,Office,5
ABC5837,Bike,Snowy,High,Residential,7
ABC8803,Car,Sunny,Low,Office,8
ABC1907,SUV,Sunny,Medium,Shopping Mall,2
ABC3310,SUV,Sunny,Low,Shopping Mall,2
ABC7979,Truck,Rainy,High,Office,6
ABC9741,Bike,Foggy,High,Office,6
ABC3031,Bike,Snowy,Medium,Shopping Mall,3
ABC6520,Car,Foggy,Medium,Residential,10
ABC3971,Car,Rainy,High,Residential,11
ABC2748,SUV,Sunny,Low,Shopping Mall,1
ABC3278,SUV,Foggy,High,Residential,10
ABC4810,Truck,Foggy,Medium,Shopping Mall,2
ABC1575,Truck,Rainy,High,Residential,13
ABC7682,SUV,Foggy,Low,Residential,9
ABC3474,SUV,Sunny,Low,Shopping Mall,1
ABC9306,SUV,Rainy,Medium,Office,6
ABC9872,Truck,Sunny,Low,Office,4
ABC2781,Bike,Rainy,Low,Residential,7
ABC8982,Truck,Rainy,Low,Shopping Mall,2
ABC4766,Bike,Foggy,Medium,Shopping Mall,2
ABC4943,Bike,Sunny,High,Office,9
ABC3784,SUV,Snowy,Medium,Office,4
ABC3494,Bike,Rainy,Low,Residential,13
ABC7403,Bike,Rainy,Low,Office,5
ABC3542,Bike,Sunny,High,Office,8
ABC5359,Bike,Foggy,Medium,Office,6
ABC8702,Truck,Rainy,Medium,Shopping Mall,3
ABC7130,Car,Sunny,Low,Office,5
ABC4427,Truck,Rainy,Medium,Shopping Mall,2
ABC7402,Truck,Foggy,Low,Shopping Mall,4
ABC9944,Bike,Snowy,Medium,Shopping Mall,1
ABC2997,Car,Foggy,High,Shopping Mall,5
ABC2463,Car,Snowy,Low,Shopping Mall,3
ABC7015,Bike,Sunny,Low,Office,8
ABC1989,Bike,Foggy,Medium,Office,7
ABC8851,Truck,Sunny,Medium,Office,6
ABC2402,SUV,Rainy,Medium,Office,7
ABC7533,Bike,Sunny,High,Office,5
ABC7002,SUV,Snowy,High,Residential,9
ABC6595,SUV,Sunny,Low,Residential,7
ABC6224,SUV,Rainy,Low,Residential,10
ABC7941,Car,Sunny,High,Shopping Mall,4
ABC4432,Truck,Snowy,Medium,Office,6
ABC4071,SUV,Sunny,Low,Office,8
ABC8892,SUV,Foggy,Medium,Office,5
ABC6028,SUV,Sunny,Medium,Office,8
ABC4288,Bike,Foggy,High,Office,10
ABC8675,SUV,Rainy,High,Residential,8
ABC9924,Bike,Foggy,Medium,Office,9
ABC8965,Bike,Sunny,Medium,Shopping Mall,3
ABC3414,Truck,Sunny,High,Office,8
ABC6235,SUV,Snowy,Medium,Residential,9
ABC4624,Truck,Sunny,High,Shopping Mall,2
ABC2062,Car,Rainy,Low,Shopping Mall,4
ABC9941,SUV,Foggy,High,Office,8
ABC6753,SUV,Foggy,Low,Residential,8
ABC6400,SUV,Sunny,Low,Shopping Mall,3
ABC6447,Car,Foggy,High,Shopping Mall,3
ABC1894,Bike,Rainy,High,Shopping Mall,5
ABC4909,SUV,Snowy,High,Shopping Mall,4
ABC3176,Car,Rainy,Medium,Shopping Mall,3
ABC7225,Truck,Foggy,High,Shopping Mall,4
ABC7839,Car,Sunny,Low,Residential,8
ABC5304,Car,Sunny,Low,Residential,8
ABC1504,SUV,Snowy,Low,Shopping Mall,2
ABC1082,Car,Foggy,Medium,Shopping Mall,3
ABC7411,Truck,Foggy,Low,Office,8
ABC6586,SUV,Sunny,Low,Residential,8
ABC2943,Car,Snowy,Low,Shopping Mall,3
ABC9605,Truck,Sunny,Low,Office,8
ABC3887,Truck,Sunny,Low,Shopping Mall,3
ABC4341,Truck,Rainy,High,Office,6
ABC9792,Car,Foggy,Low,Office,8
ABC3799,SUV,Foggy,Medium,Residential,13
ABC9492,SUV,Snowy,Medium,Residential,8
ABC7914,SUV,Sunny,Medium,Office,5
ABC3983,Bike,Foggy,Low,Shopping Mall,3
ABC1252,Car,Snowy,Low,Residential,6
ABC7894,Car,Rainy,Low,Residential,12
ABC9756,SUV,Foggy,High,Office,8
ABC3300,Car,Sunny,Medium,Residential,6
ABC3810,Bike,Foggy,Low,Shopping Mall,3
ABC4714,Car,Snowy,Low,Office,7
ABC9708,SUV,Sunny,Low,Shopping Mall,2
ABC3447,Car,Sunny,Low,Residential,6
ABC2372,Truck,Snowy,High,Office,7
ABC1507,Car,Snowy,High,Office,7
ABC7525,Car,Snowy,Medium,Office,7
ABC4284,Bike,Sunny,Low,Shopping Mall,2
ABC7893,Car,Rainy,Low,Residential,9
ABC2506,SUV,Foggy,Low,Office,5
ABC3001,Bike,Snowy,Low,Shopping Mall,1
ABC2798,Bike,Sunny,Medium,Residential,10
ABC2774,SUV,Sunny,High,Office,9
ABC4959,SUV,Sunny,Medium,Shopping Mall,3
ABC9538,Bike,Snowy,Medium,Office,6
ABC6012,Car,Foggy,Medium,Office,5
ABC6816,Truck,Snowy,High,Residential,11
ABC3386,Car,Foggy,High,Shopping Mall,5
ABC9191,Bike,Rainy,Medium,Residential,7
ABC4671,SUV,Foggy,High,Office,8
ABC4984,Car,Foggy,High,Office,9
ABC5619,Car,Snowy,Low,Office,6
ABC3307,SUV,Rainy,Medium,Residential,12
ABC4384,Truck,Foggy,Medium,Residential,7
ABC4982,Truck,Rainy,Low,Residential,11
ABC7926,Bike,Sunny,Low,Office,5
ABC3267,SUV,Snowy,High,Shopping Mall,4
ABC6604,Bike,Sunny,Medium,Office,8
ABC2337,Bike,Sunny,Low,Shopping Mall,1
ABC5002,Car,Snowy,Low,Shopping Mall,3
ABC2049,Car,Rainy,Medium,Residential,12
ABC2877,Truck,Sunny,High,Office,5
ABC8039,Bike,Snowy,High,Office,9
ABC6421,SUV,Snowy,Low,Office,6
ABC8190,Bike,Snowy,High,Shopping Mall,3
ABC9488,SUV,Rainy,Low,Office,8
ABC9280,SUV,Sunny,High,Shopping Mall,4
ABC4403,Bike,Snowy,Medium,Shopping Mall,2
ABC7581,Truck,Snowy,Low,Residential,8
ABC1264,Car,Rainy,Medium,Office,7
ABC4450,Truck,Rainy,Low,Shopping Mall,4
ABC7322,SUV,Rainy,Medium,Office,9
ABC9618,Truck,Snowy,Medium,Residential,11
ABC9003,SUV,Rainy,High,Office,8
ABC3659,SUV,Sunny,Low,Residential,8
ABC6445,SUV,Sunny,Medium,Residential,6
ABC3453,Truck,Rainy,High,Residential,9
ABC6401,SUV,Sunny,Medium,Shopping Mall,1
ABC4749,SUV,Snowy,High,Residential,10
ABC6203,Truck,Foggy,High,Residential,9
ABC4728,Car,Sunny,Low,Office,4
ABC8650,Truck,Snowy,Low,Shopping Mall,1
ABC4926,SUV,Foggy,Medium,Office,6
ABC7737,SUV,Rainy,Medium,Residential,8
ABC4891,Car,Rainy,Medium,Office,6
ABC1122,SUV,Snowy,High,Shopping Mall,4
ABC5195,Bike,Sunny,Low,Office,4
ABC3125,Bike,Snowy,Low,Shopping Mall,1
ABC9515,Truck,Rainy,Low,Office,8
ABC8377,Car,Sunny,Medium,Residential,8
ABC7974,SUV,Foggy,Low,Residential,10
ABC6492,Truck,Foggy,High,Shopping Mall,5
ABC8059,Car,Foggy,Medium,Residential,10
ABC8906,SUV,Snowy,High,Office,7
ABC4516,Truck,Sunny,Low,Shopping Mall,2
ABC8239,Bike,Sunny,Medium,Residential,9
ABC2097,Car,Snowy,Low,Residential,7
ABC1361,Truck,Snowy,High,Residential,10
ABC6205,Bike,Foggy,Low,Residential,13
ABC3493,Car,Foggy,Low,Shopping Mall,2
ABC8119,Car,Snowy,Medium,Office,7
ABC7562,Truck,Sunny,Low,Shopping Mall,3
ABC7628,Car,Foggy,High,Office,8
ABC9255,Bike,Snowy,Medium,Residential,10
ABC4410,Truck,Snowy,High,Office,9
ABC3154,SUV,Rainy,High,Shopping Mall,5
ABC9512,SUV,Sunny,High,Office,7
ABC1997,SUV,Rainy,Medium,Shopping Mall,3
ABC3291,Bike,Rainy,High,Office,6
ABC8230,Car,Snowy,Low,Shopping Mall,2
ABC2920,Car,Snowy,Low,Residential,6
ABC5229,Car,Rainy,Low,Office,5
ABC1040,Truck,Rainy,Low,Shopping Mall,2
ABC3220,Car,Snowy,Medium,Residential,6
ABC4866,SUV,Snowy,High,Residential,13
ABC3255,Bike,Foggy,Medium,Office,7
ABC1789,Car,Snowy,Low,Residential,10
ABC1101,Car,Snowy,Low,Shopping Mall,1
ABC2631,Bike,Sunny,Low,Shopping Mall,1
ABC5292,Truck,Snowy,Medium,Shopping Mall,3
ABC8935,Car,Sunny,Low,Residential,10
ABC1985,Truck,Rainy,Low,Shopping Mall,4
ABC4159,Bike,Foggy,High,Residential,12
ABC9003,SUV,Snowy,Low,Residential,6
ABC9193,SUV,Sunny,Low,Office,4
ABC1298,Car,Rainy,Medium,Office,6
ABC8215,Bike,Sunny,High,Shopping Mall,3
ABC1844,Car,Snowy,Low,Shopping Mall,3
ABC9321,SUV,Rainy,Medium,Office,5
ABC5491,Truck,Snowy,Low,Shopping Mall,2
ABC2672,Bike,Snowy,Low,Office,5
ABC2339,Bike,Rainy,Medium,Residential,8
ABC2777,Truck,Foggy,Medium,Office,6
ABC8174,SUV,Rainy,Medium,Residential,11
ABC4215,SUV,Snowy,Medium,Residential,9
ABC6004,Car,Snowy,High,Residential,11
ABC8484,Car,Rainy,High,Residential,9
ABC2879,Car,Snowy,High,Residential,13
ABC7408,Truck,Foggy,Low,Residential,11
ABC8271,SUV,Foggy,Low,Residential,12
ABC7931,Truck,Sunny,High,Residential,11
ABC6544,SUV,Foggy,High,Residential,13
ABC6288,Bike,Sunny,Low,Shopping Mall,2
ABC9824,SUV,Rainy,Medium,Shopping Mall,4
ABC3026,Bike,Rainy,Low,Shopping Mall,2
ABC4202,SUV,Sunny,Medium,Residential,12
ABC5376,Bike,Snowy,High,Shopping Mall,2
ABC2908,Bike,Foggy,Low,Shopping Mall,4
ABC9744,Truck,Rainy,High,Shopping Mall,3
ABC7052,Bike,Sunny,Medium,Shopping Mall,2
ABC9540,Truck,Rainy,High,Office,9
ABC3948,Bike,Snowy,High,Residential,8
ABC3139,Car,Sunny,Medium,Shopping Mall,3
ABC7449,Car,Foggy,Low,Office,5
ABC7189,Car,Foggy,Medium,Shopping Mall,3
ABC2058,Car,Snowy,Medium,Residential,12
ABC2278,Car,Rainy,Medium,Residential,10
ABC3659,SUV,Sunny,Medium,Residential,10
ABC3644,Bike,Snowy,Medium,Shopping Mall,3
ABC8811,SUV,Snowy,High,Residential,9
ABC4063,Car,Sunny,Medium,Office,6
ABC1494,Truck,Sunny,Low,Residential,6
ABC7880,Car,Rainy,Low,Shopping Mall,2
ABC6730,SUV,Foggy,High,Office,7
ABC9639,Bike,Sunny,High,Shopping Mall,3
ABC4261,Car,Rainy,Low,Office,8
ABC3384,SUV,Sunny,Medium,Residential,9
ABC1916,Truck,Rainy,Low,Shopping Mall,3
ABC5336,Bike,Rainy,Low,Shopping Mall,3
ABC7832,Truck,Foggy,High,Office,7
ABC3766,Truck,Rainy,Medium,Office,7
ABC8018,Truck,Foggy,Medium,Residential,12
ABC5056,Truck,Foggy,Medium,Shopping Mall,2
ABC8463,Car,Sunny,Low,Residential,9
ABC8240,SUV,Foggy,Low,Residential,12
ABC6011,SUV,Sunny,Low,Office,8
ABC6338,SUV,Sunny,Low,Shopping Mall,1
ABC3458,SUV,Snowy,High,Residential,12
ABC6962,Bike,Foggy,Low,Office,9
ABC5243,SUV,Foggy,Medium,Residential,13
ABC8137,SUV,Rainy,Low,Shopping Mall,4
ABC9549,Truck,Foggy,High,Office,6
ABC7902,Bike,Rainy,Low,Shopping Mall,3
ABC3268,Bike,Foggy,Low,Shopping Mall,3
ABC7753,Bike,Sunny,High,Office,8
ABC7687,Car,Sunny,Medium,Residential,8
ABC1727,Truck,Snowy,Medium,Shopping Mall,1
ABC7470,Bike,Snowy,High,Residential,7
ABC3085,SUV,Rainy,Medium,Office,8
ABC8476,Truck,Foggy,Medium,Shopping Mall,4
ABC2189,SUV,Snowy,Low,Office,4
ABC1150,Truck,Sunny,Low,Residential,10
ABC4119,SUV,Rainy,High,Residential,10
ABC9477,Bike,Rainy,High,Shopping Mall,4
ABC6556,Truck,Foggy,High,Office,8
ABC1704,Bike,Snowy,Medium,Residential,10
ABC2291,Bike,Sunny,Low,Residential,9
ABC4253,Bike,Rainy,Low,Shopping Mall,4
ABC9848,Truck,Rainy,Medium,Office,8
ABC3334,Bike,Sunny,Medium,Shopping Mall,2
ABC7171,Bike,Foggy,Low,Shopping Mall,2
ABC2954,SUV,Sunny,Low,Office,5
ABC9551,Car,Rainy,High,Office,10
ABC5375,Bike,Foggy,Medium,Shopping Mall,2
ABC7406,Truck,Foggy,Medium,Residential,7
ABC9236,Car,Sunny,High,Office,5
ABC6870,Truck,Rainy,Low,Residential,12
ABC7977,Truck,Snowy,Low,Residential,11
ABC8103,Car,Sunny,Medium,Shopping Mall,1
ABC9361,Bike,Rainy,Low,Office,7
ABC6796,Car,Snowy,Medium,Residential,7
ABC3994,Truck,Snowy,Medium,Office,7
ABC4073,SUV,Rainy,Low,Shopping Mall,3
ABC5458,SUV,Rainy,High,Shopping Mall,4
ABC6734,Bike,Snowy,Low,Office,4
ABC6729,Truck,Foggy,High,Office,8
ABC8451,Truck,Snowy,Low,Shopping Mall,1
ABC8628,SUV,Sunny,Low,Office,4
ABC5245,Bike,Snowy,Low,Office,4
ABC4639,Truck,Sunny,Medium,Shopping Mall,3
ABC5611,SUV,Rainy,High,Residential,9
ABC4713,Car,Snowy,Low,Residential,7
ABC4352,Truck,Rainy,Medium,Office,8
ABC8202,Bike,Rainy,Low,Residential,7
ABC9701,Car,Foggy,Medium,Residential,9
ABC5726,Bike,Foggy,Medium,Office,9
ABC6029,Truck,Rainy,Low,Shopping Mall,3
ABC2738,Truck,Foggy,Medium,Shopping Mall,3
ABC6178,Car,Sunny,Medium,Shopping Mall,1
ABC3344,Truck,Sunny,Low,Residential,9
ABC4200,Bike,Rainy,Medium,Office,7
ABC5597,Bike,Rainy,Medium,Office,5
ABC9100,SUV,Rainy,High,Office,8
ABC6356,Bike,Snowy,Low,Residential,8
ABC1886,Bike,Sunny,Medium,Residential,9
ABC5958,Bike,Foggy,Medium,Office,7
ABC5644,Car,Foggy,High,Office,7
ABC9355,Truck,Foggy,Low,Residential,7
ABC3126,SUV,Snowy,Medium,Shopping Mall,3
ABC2788,Car,Snowy,Low,Residential,6
ABC1427,Truck,Snowy,Medium,Residential,11
ABC9780,Car,Snowy,High,Shopping Mall,4
ABC2039,SUV,Foggy,Low,Office,9
ABC4733,Bike,Foggy,Medium,Residential,11
ABC6258,Bike,Rainy,High,Shopping Mall,4
ABC4045,SUV,Rainy,High,Shopping Mall,5
ABC5688,Bike,Rainy,Low,Office,7
ABC5304,SUV,Rainy,High,Shopping Mall,3
ABC3648,Car,Sunny,Low,Residential,9
ABC5033,SUV,Sunny,High,Office,9
ABC9159,Car,Snowy,High,Residential,10
ABC7518,Truck,Snowy,Low,Residential,9
ABC1396,Bike,Sunny,High,Residential,10
ABC8694,Bike,Snowy,Low,Shopping Mall,2
ABC9444,Bike,Foggy,High,Residential,14
ABC7550,Bike,Rainy,Medium,Residential,12
ABC6663,Truck,Snowy,High,Office,7
ABC5773,Bike,Snowy,High,Residential,12
ABC8382,SUV,Sunny,Low,Residential,11
ABC2071,Car,Foggy,Low,Office,6
ABC2001,Truck,Sunny,Medium,Residential,12
ABC2539,Truck,Rainy,High,Residential,13
ABC9839,Truck,Sunny,High,Residential,9
ABC9951,Truck,Foggy,Medium,Office,9
ABC8810,SUV,Sunny,Low,Office,8
ABC4202,Bike,Rainy,Low,Shopping Mall,3
ABC5849,Truck,Sunny,High,Residential,13
ABC7293,Bike,Sunny,Low,Shopping Mall,3
ABC6249,SUV,Foggy,High,Office,10
ABC7673,Car,Rainy,Low,Office,7
ABC4925,Car,Foggy,High,Shopping Mall,3
ABC1754,Truck,Sunny,Medium,Residential,10
ABC6862,Bike,Sunny,Medium,Shopping Mall,1
ABC2703,Bike,Snowy,Low,Residential,8
ABC5583,Bike,Snowy,High,Residential,10
ABC1051,Car,Rainy,Medium,Residential,7
ABC8351,SUV,Sunny,Low,Shopping Mall,3
ABC2098,Bike,Foggy,Medium,Shopping Mall,2
ABC3113,Car,Snowy,High,Shopping Mall,2
ABC9081,Car,Rainy,Medium,Residential,13
ABC1842,Car,Foggy,Low,Residential,7
ABC1120,Bike,Snowy,Low,Residential,12
ABC1768,Car,Rainy,Medium,Residential,10
ABC3237,SUV,Snowy,High,Residential,8
ABC3443,SUV,Rainy,Low,Office,5
ABC1673,Car,Rainy,High,Shopping Mall,5
ABC3096,Car,Sunny,Low,Office,7
ABC5860,Truck,Rainy,High,Office,10
ABC4688,SUV,Rainy,Low,Shopping Mall,2
ABC4242,Truck,Rainy,High,Shopping Mall,5
ABC3059,Truck,Sunny,Low,Residential,8
ABC4782,Truck,Rainy,Medium,Residential,13
ABC8573,SUV,Sunny,High,Office,5
ABC5719,SUV,Foggy,Medium,Shopping Mall,4
ABC9697,Bike,Snowy,High,Residential,8
ABC4759,Bike,Sunny,High,Shopping Mall,3
